Address,Bedrooms,Bathrooms,Agent Name,Building,Price,Organization,Area Code,Phone Number,Property Type
"93 Boul. de la Cité|Gatineau (Gatineau), Quebec J8T8K3",3,2,Jean-Yves Plouffe,House,"$485,000",RE/MAX VISION - Hull,819,328-3683,"$485,000"
"3 Rue Benedetti|Val-des-Monts, Quebec J8N7J9",,,Martin Lécuyer,,"$64,900",RE/MAX DIRECT INC. - Gatineau,819,661-3084,"$64,900"
"126 SPRINGTON CRESCENT|Ottawa, Ontario K2J0V9",4 + 0,4,Tianying Zheng,House,"$899,000",ESTEEM REALTY INC.,613,879-3611,"$899,000"
"3234 SOUTHGATE ROAD|Ottawa, Ontario K1V8W2",3 + 0,2,Rainer Bruchhaeuser,Row / Townhouse,"$358,000",KELLER WILLIAMS INTEGRITY REALTY,613,889-4345,"$358,000"
"6938 LAKE FOREST DRIVE|Greely, Ontario K4P0A3",5 + 1,5,Joanne Gauthier,House,"$1,695,000",EQUITY ONE REAL ESTATE INC.,613,983-1186,"$1,695,000"
"128F FLANDERS STREET|Nepean, Ontario K2J4N2",3 + 0,2,Michal Michalski,Row / Townhouse,"$499,000",REALTY REBEL (OTTAWA) INC.,613,324-1225,"$499,000"
"782 Rue Notre-Dame|Gatineau (Gatineau), Quebec J8P1N5",4,3,Annick Fleury,House,"$399,900",Royal LePage Vallée de l'Outaouais - Val-des-Monts,819,592-5152,"$399,900"
"9 Rue Wright|Gatineau (Hull), Quebec J8Y3J6",2,1,Karine Séguin,House,"$649,900",Royal LePage Vallée de l'Outaouais,819,661-2123,"$649,900"
"2017 STONEHENGE CRESCENT|Ottawa, Ontario K1B4N7",3 + 0,2,Darcy Whyte,Row / Townhouse,"$415,000",CENTURY 21 SYNERGY REALTY INC,613,697-8722,"$415,000"
"1553 DUPLANTE AVENUE|Ottawa, Ontario K4A3Z2",3 + 0,2,Ryan Jones,Row / Townhouse,"$484,900",COLDWELL BANKER FIRST OTTAWA REALTY,613,314-5075,"$484,900"
"2204 UTAH STREET|Ottawa, Ontario K1H7W8",3 + 0,2,Xiaoli (Lily) Hu,House,"$699,000",KELLER WILLIAMS INTEGRITY REALTY,613,220-0046,"$699,000"
"161 UNION STREET N|Mississippi Mills, Ontario K0A1A0",5 + 0,4,Wendy Ronberg,House,"$1,499,000",EXIT REALTY VISION,613,914-5524,"$1,499,000"
"175 WINDHURST DRIVE|Ottawa, Ontario K2G6H9",3 + 0,3,Jennifer Chamberlain,House,"$735,000",RE/MAX AFFILIATES GEOFF&BOBBIE MCGOWAN,613,818-5662,"$735,000"
"199 SLATER STREET UNIT#2106|Ottawa, Ontario K1P0C8",0 + 0,1,Sri Bagavatsingam,Apartment,"$339,900",RIGHT AT HOME REALTY INC.,613,608-4064,"$339,900"
"1458 MURDOCK GATE|Ottawa, Ontario K1J8R5",3 + 0,2,Julie Clement,Row / Townhouse,"$399,900",COLDWELL BANKER FIRST OTTAWA REALTY,613,294-8294,"$399,900"
"161 ADRIEN STREET|Clarence-Rockland, Ontario K4K1K7",2 + 2,4,Christopher Blenkiron,House,"$1,699,900",RE/MAX HALLMARK EXCELLENCE GROUP REALTY,613,913-4665,"$1,699,900"
"210 Rue des Bernaches|Gatineau (Masson-Angers), Quebec J8M1K9",4,2,Anik Mainville,House,"$377,000",RE/MAX VISION - Buckingham,819,962-1997,"$377,000"
"168 Ch. de Chambord|Gatineau (Gatineau), Quebec J8R3H2",4,2,Claudio Cid,House,"$544,000",RE/MAX VISION,819,319-3099,"$544,000"
"776 DEARBORN PRIVATE|Ottawa, Ontario K1T0W3",3 + 0,3,Natalia Kaliberda,Row / Townhouse,"$699,900",AVENUE NORTH REALTY INC.,613,864-1664,"$699,900"
"28 FRANK STREET|Carleton Place, Ontario K7C2Z7",4 + 0,3,Beth Bonvie,House,"$649,000",ROYAL LEPAGE TEAM REALTY,613,762-1048,"$649,000"
"896 CORKTOWN ROAD|Merrickville, Ontario K0G1N0",3 + 1,3,Marc Leduc,House,"$1,094,800",RE/MAX HALLMARK REALTY GROUP,613,236-5959,"$1,094,800"
"892 CORKTOWN ROAD|Merrickville, Ontario K0G1N0",3 + 0,4,Marc Leduc,House,"$1,194,800",RE/MAX HALLMARK REALTY GROUP,613,236-5959,"$1,194,800"
"172 FRANKTOWN ROAD|Carleton Place, Ontario K7C2N7",3 + 0,1,Brian Rintoul,House,"$339,900",VALLEY HOMES REALTY LTD.,613,451-5385,"$339,900"
"111 SUNSETVIEW ROAD|Drummond, Ontario K7C3H8",3 + 0,1,Alexandra George,Manufactured Home,"$155,000",RE/MAX HALLMARK JENNA & CO. GROUP REALTY,613,277-6871,"$155,000"
"67 VILLAGE WALK PRIVATE|Ottawa, Ontario K4M1L1",2 + 0,2,Jeffrey Usher,Row / Townhouse,"$440,000",GRAPE VINE REALTY INC.,613,829-1000,"$440,000"
"58 Rue du Faubourg|Gatineau (Aylmer), Quebec J9H0C7",5,3,Marty Waite,House,"$749,900",RE/MAX DIRECT INC.,819,665-0033,"$749,900"
"138 STEDMAN STREET|Ottawa, Ontario K1T0B4",3 + 0,3,Pierre Acouri,Row / Townhouse,"$599,900",RE/MAX HALLMARK REALTY GROUP,613,266-3355,"$599,900"
"118 MAPLE KEY PRIVATE|Ottawa, Ontario K1T0E1",2 + 1,3,Margo Lindsay,Row / Townhouse,"$649,000",ROYAL LEPAGE TEAM REALTY,613,795-6274,"$649,000"
"5 Ch. de Gleneagle|Chelsea, Quebec J9B1V9",3,1,Gilles A. Séguin,House,"$539,900",GAUVIN IMMOBILIER INC.,819,360-6696,"$539,900"
"204 Rue de la Châtelaine|Gatineau (Gatineau), Quebec J8V2N6",4,3,Alain Fournier,House,"$899,900",RE/MAX DIRECT INC. - Gatineau,819,213-4747,"$899,900"
"40 Rue Boucher|Gatineau (Hull), Quebec J8Y6G3",4,2,Carlos Avila,House,"$489,900",RE/MAX DIRECT INC.,819,208-3998,"$489,900"
"541 BESSERER STREET|Ottawa, Ontario K1N6C6",4 + 0,5,Alistair Thomas,Row / Townhouse,"$889,000",ROYAL LEPAGE TEAM REALTY,613,794-7411,"$889,000"
"28 JOLLIET AVENUE|Ottawa, Ontario K1L5H5",2 + 0,1,Abdul Laayar,House,"$699,900",PURPLEBRICKS,866,336-9637,"$699,900"
"2130 BLACK FRIARS ROAD|Ottawa, Ontario K2A3K5",4 + 0,2,Janda Shamess,House,"$998,900",PURPLEBRICKS,866,336-9637,"$998,900"
"1072 CROMWELL DRIVE|Ottawa, Ontario K1V6K5",3 + 1,2,Victoria Brunetta,House,"$699,900",RE/MAX HALLMARK BRUNETTA GROUP REALTY,613,276-4601,"$699,900"
"1300 ADIRONDACK DRIVE|Ottawa, Ontario K2C2V3",3 + 1,2,Shane O'Sullivan,House,"$844,900",RE/MAX HALLMARK REALTY GROUP,613,236-5959,"$844,900"
"3479 PANMURE ROAD|Ottawa, Ontario K0A2H0",3 + 0,2,Adrienne Baxter,House,"$799,900",COLDWELL BANKER FIRST OTTAWA REALTY,613,295-0811,"$799,900"
"23 Imp. de la Descente|Gatineau (Aylmer), Quebec J9H5B8",3,2,Hubert Beauchesne,House,"$374,900",RE/MAX DIRECT INC.,819,918-2148,"$374,900"
"93 Rue du Tartan|Gatineau (Aylmer), Quebec J9J0N8",3,2,Marty Waite,House,"$599,900",RE/MAX DIRECT INC.,819,665-0033,"$599,900"
"611 Rue Front|Gatineau (Aylmer), Quebec J9J0V3",4,1,Shawn Pinard,House,"$650,000",RE/MAX DIRECT INC. - Gatineau,819,743-3244,"$650,000"
"440 Rue du Jockey|Gatineau (Aylmer), Quebec J9H0J5",4,2,Ali Saad,House,"$599,900",VIA CAPITALE DIAMANT - Gatineau,819,639-6697,"$599,900"
"422 DONALD B MUNRO DRIVE|Carp, Ontario K0A1L0",8 + 0,3,Wanda Clark,House,"$650,000",CENTURY 21 EXPLORER REALTY INC.,613,223-3310,"$650,000"
"101 PINHEY STREET UNIT#402|Ottawa, Ontario K1Y1T7",2 + 0,2,Matt Richling,Apartment,"$731,900",RE/MAX HALLMARK REALTY GROUP,613,286-9501,"$731,900"
"23 Imp. de la Descente|Gatineau (Aylmer), Quebec J9H5B8",3,2,Hubert Beauchesne,House,"$374,900",RE/MAX DIRECT INC.,819,918-2148,"$374,900"
"93 Rue du Tartan|Gatineau (Aylmer), Quebec J9J0N8",3,2,Marty Waite,House,"$599,900",RE/MAX DIRECT INC.,819,665-0033,"$599,900"
"611 Rue Front|Gatineau (Aylmer), Quebec J9J0V3",4,1,Shawn Pinard,House,"$650,000",RE/MAX DIRECT INC. - Gatineau,819,743-3244,"$650,000"
"440 Rue du Jockey|Gatineau (Aylmer), Quebec J9H0J5",4,2,Ali Saad,House,"$599,900",VIA CAPITALE DIAMANT - Gatineau,819,639-6697,"$599,900"
"422 DONALD B MUNRO DRIVE|Carp, Ontario K0A1L0",8 + 0,3,Wanda Clark,House,"$650,000",CENTURY 21 EXPLORER REALTY INC.,613,223-3310,"$650,000"
"101 PINHEY STREET UNIT#402|Ottawa, Ontario K1Y1T7",2 + 0,2,Matt Richling,Apartment,"$731,900",RE/MAX HALLMARK REALTY GROUP,613,286-9501,"$731,900"
"274 DES VISONS PLACE|Ottawa, Ontario K1E2Y7",3 + 0,3,Jeffrey Usher,Row / Townhouse,"$499,900",GRAPE VINE REALTY INC.,613,829-1000,"$499,900"
"23 DRAYTON PRIVATE|Ottawa, Ontario K1K4R1",3 + 0,2,Jeffrey Usher,Row / Townhouse,"$559,900",GRAPE VINE REALTY INC.,613,829-1000,"$559,900"
"216 SANDRA CRESCENT|Clarence-Rockland, Ontario K4K1R9",3 + 1,3,Christopher Blenkiron,House,"$524,900",RE/MAX HALLMARK EXCELLENCE GROUP REALTY,613,913-4665,"$524,900"
"Lot 1503 WINSOME TERRACE|Ottawa, Ontario K4A4Y3",3 + 0,3,Tarek El Attar,Row / Townhouse,"$644,990",RE/MAX AFFILIATES CAPITAL PARTNERS,613,733-9494,"$644,990"
"811 AZURE STREET|Ottawa, Ontario K4A0T7",4 + 0,4,Sylvie Guillotte,House,"$869,900",RE/MAX HALLMARK REALTY GROUP,613,590-2956,"$869,900"
"FARMVIEW ROAD|Ottawa, Ontario K0A2H0",,0,Ron Bidgood,,"$1,075,000",ROYAL LEPAGE TEAM REALTY,613,795-1404,"$1,075,000"
"Lot 1503 WINSOME TERRACE|Ottawa, Ontario K4A4Y3",3 + 0,3,Tarek El Attar,Row / Townhouse,"$644,990",RE/MAX AFFILIATES CAPITAL PARTNERS,613,733-9494,"$644,990"
"811 AZURE STREET|Ottawa, Ontario K4A0T7",4 + 0,4,Sylvie Guillotte,House,"$869,900",RE/MAX HALLMARK REALTY GROUP,613,590-2956,"$869,900"
"4183 GREEN GABLES LANE|Gloucester, Ontario K1V2G1",2 + 2,3,Marnie Bennett,House,"$899,000",BENNETT PROPERTY SHOP REALTY,613,233-8606,"$899,000"
"Lot 0001 PERSEUS AVENUE|Ottawa, Ontario K2J6S7",4 + 0,3,Tarek El Attar,House,"$782,990",RE/MAX AFFILIATES CAPITAL PARTNERS,613,733-9494,"$782,990"
"115 PORT ELMSLEY ROAD|Port Elmsley, Ontario K7H3C7",3 + 0,3,Tanya Evoy,House,"$459,000",RE/MAX AFFILIATES REALTY LTD.,613,285-4214,"$459,000"
"60 UNION STREET|Smiths Falls, Ontario K7A4S7",2 + 0,1,John Gray,House,"$379,900",RE/MAX AFFILIATES REALTY LTD.,613,868-6068,"$379,900"
"961 MESSOR CRESCENT|Ottawa, Ontario K2S0L7",3 + 0,3,Ryan Rogers,Row / Townhouse,"$595,000",GRAPE VINE REALTY INC.,613,282-2077,"$595,000"
"67 GOLDFINCH DRIVE|Ottawa, Ontario K2M2P5",2 + 1,3,Meagan Milloy,Row / Townhouse,"$699,900",RE/MAX HALLMARK REALTY GROUP,613,302-6007,"$699,900"
"2166 RUSHTON ROAD|Ottawa, Ontario K2A1N7",3 + 1,2,Braden McLean,House,"$879,900",RE/MAX AFFILIATES REALTY LTD.,613,866-9167,"$879,900"
"2871 RICHMOND ROAD UNIT#410|Ottawa, Ontario K2B8M5",2 + 0,2,Kam Gilani,Apartment,"$329,900",CENTURY 21 ACTION POWER TEAM LTD.,613,617-2499,"$329,900"
"276 KINGHAVEN CRESCENT|Ottawa, Ontario K2M0C1",2 + 0,2,Andrew Clark,House,"$499,900",RE/MAX AFFILIATES REALTY LTD.,613,889-7056,"$499,900"
"14 MOORSIDE PRIVATE PT|Ottawa, Ontario K2C3P4",3 + 1,3,LI LIU,Row / Townhouse,"$499,900",HOMELIFE LANDMARK REALTY INC.,905,305-1600,"$499,900"
"143 FANSHAW AVENUE|Ottawa, Ontario K1H6C8",3 + 0,3,Casey McGowan,House,"$849,900",RE/MAX AFFILIATES REALTY LTD.,613,878-5831,"$849,900"
"14 MOORSIDE PRIVATE PT|Ottawa, Ontario K2C3P4",3 + 1,3,LI LIU,Row / Townhouse,"$499,900",HOMELIFE LANDMARK REALTY INC.,905,305-1600,"$499,900"
"276 KINGHAVEN CRESCENT|Ottawa, Ontario K2M0C1",2 + 0,2,Andrew Clark,House,"$499,900",RE/MAX AFFILIATES REALTY LTD.,613,889-7056,"$499,900"
"373 Rue de Ste-Maxime|Gatineau (Gatineau), Quebec J8T8E6",3,2,Benoit Brunet,House,"$519,900",Royal LePage Vallée de l'Outaouais,819,210-8670,"$519,900"
"75 Rue de Beausoleil|Gatineau (Gatineau), Quebec J8T7G9",3,2,Mathieu Mili,House,"$599,900",RE/MAX VISION,819,593-0115,"$599,900"
"12 Rue de Monte-Carlo|Gatineau (Gatineau), Quebec J8T5K6",4,2,Yannick Arseneault,House,"$599,900",RE/MAX VISION,819,360-6967,"$599,900"
"6362 BILBERRY DRIVE UNIT#15|Ottawa, Ontario K1C4P7",2 + 0,2,Omar Hashem,Row / Townhouse,"$350,000",LOTFUL REALTY,613,867-7669,"$350,000"
"Lot 1502 WINSOME TERRACE|Ottawa, Ontario K4A4Y3",3 + 0,3,Tarek El Attar,Row / Townhouse,"$636,990",RE/MAX AFFILIATES CAPITAL PARTNERS,613,733-9494,"$636,990"
"205 EDEY STREET|Arnprior, Ontario K7S3G8",2 + 0,2,April Mohr,House,"$499,900",ROYAL LEPAGE TEAM REALTY,613,857-3423,"$499,900"
"555 BRITTANY DRIVE UNIT#1004|Ottawa, Ontario K1K4C5",2 + 0,2,Dan Mayer,Apartment,"$279,900",ROYAL LEPAGE PERFORMANCE REALTY,613,315-8363,"$279,900"
"1361 ROUTE 500 ROUTE|Embrun, Ontario K0A1W0",3 + 0,3,Maggie Tessier,House,"$689,900",EXIT REALTY MATRIX,613,443-4300,"$689,900"
"983 COVE ISLAND TERRACE|Ottawa, Ontario K1V1R4",3 + 0,3,Lisa Hopkyns,Row / Townhouse,"$574,900",ROYAL LEPAGE TEAM REALTY,613,227-1773,"$574,900"
"82 FIELDROW STREET|Ottawa, Ontario K2G2Y9",3 + 0,2,Jenna Swinwood,House,"$500,000",RE/MAX HALLMARK JENNA & CO. GROUP REALTY,613,699-2079,"$500,000"
"36 CARR PLACE|Kanata, Ontario K2K1K7",5 + 0,3,Geoff McGowan,House,"$900,000",RE/MAX AFFILIATES GEOFF&BOBBIE MCGOWAN,613,769-2183,"$900,000"
"3205 UPLANDS DRIVE UNIT#45|Ottawa, Ontario K1V9T4",3 + 0,3,Vanya Lazovic,Row / Townhouse,"$439,000",ROYAL LEPAGE PERFORMANCE REALTY,613,859-9100,"$439,000"
"1361 ROUTE 500 ROUTE|Embrun, Ontario K0A1W0",3 + 0,3,Maggie Tessier,House,"$689,900",EXIT REALTY MATRIX,613,443-4300,"$689,900"
"2456 6TH LINE ROAD|Beckwith, Ontario K7A4S7",3 + 1,3,Tanya Evoy,House,"$699,000",RE/MAX AFFILIATES REALTY LTD.,613,285-4214,"$699,000"
"998 SHIMMERTON CIRCLE|Ottawa, Ontario K2M0L4",3 + 1,4,Paula Moloney,House,"$724,900",ENGEL & VOLKERS OTTAWA CENTRAL,613,698-7654,"$724,900"
"298 ESPIN HEIGHTS|Ottawa, Ontario K2J0Y8",2 + 0,2,David Steen,House,"$399,900",ROYAL LEPAGE PERFORMANCE REALTY,613,266-4299,"$399,900"
"100 RATHWELL ROAD|Perth, Ontario K7H3C7",3 + 0,2,LORALEE CARRUTHERS,House,"$999,995",CENTURY 21 RIVER'S EDGE LTD.,613,918-0321,"$999,995"
"1585 RAMAR LANE|Metcalfe, Ontario K0A2P0",3 + 2,4,Chris Steeves,House,"$949,900",EXP REALTY,613,262-1697,"$949,900"
"54 ROSEGARDEN CRESCENT|Ottawa, Ontario K1T3A9",3 + 0,3,Joanne Goneau,House,"$599,900",RE/MAX ABSOLUTE REALTY INC.,613,851-5982,"$599,900"
"311 ST GUILLAUME ROAD|Russell, Ontario K0A3H0",3 + 0,2,Greg Hamre,House,"$750,000",RE/MAX AFFILIATES REALTY LTD.,613,277-7712,"$750,000"
"16 Rue Lemoyne|Gatineau (Gatineau), Quebec J8T3X3",2,2,Alexandre Hamel,House,"$372,000",RE/MAX DIRECT INC.,819,635-4344,"$372,000"
"1777 TRAPPIST LANE|Orleans, Ontario K1C1X7",3 + 0,2,James Blaskie,Row / Townhouse,"$382,900",RE/MAX HALLMARK REALTY GROUP,613,286-8938,"$382,900"
"19 PROVENDER STREET|Ottawa, Ontario K1K4N3",3 + 0,2,Gabriel de Varennes,Row / Townhouse,"$550,000",ROYAL LEPAGE PERFORMANCE REALTY,613,720-0490,"$550,000"
"1435 BEDEQUE COURT|Orleans, Ontario K1C3H2",4 + 0,3,Catherine Joyce,House,"$724,900",LOCKE REAL ESTATE INC.,613,296-3169,"$724,900"
"260 BRITTANY DRIVE UNIT#107|Ottawa, Ontario K1K4M2",1 + 0,1,Miguel Vidal,Apartment,"$249,900",SOLID ROCK REALTY,613,324-3818,"$249,900"
"200 TITANIUM PRIVATE UNIT#403|Ottawa, Ontario K1C0B9",1 + 0,1,Adam Mills,Apartment,"$349,900",ROYAL LEPAGE TEAM REALTY ADAM MILLS,613,825-7653,"$349,900"
"3010 QUILLIVAN LANE|Ottawa, Ontario K4C1A9",4 + 2,4,Greg Hamre,House,"$925,000",RE/MAX AFFILIATES REALTY LTD.,613,277-7712,"$925,000"
"146 GRAINSTONE WAY|Kanata, Ontario K2T0H3",4 + 0,4,Lei Guo,House,"$1,499,900",ROYAL LEPAGE TEAM REALTY,613,986-7089,"$1,499,900"
"1263 EMPEROR AVENUE|Ottawa, Ontario K1Z8C4",3 + 0,2,Tara Graff,Row / Townhouse,"$524,900",ROYAL LEPAGE TEAM REALTY,613,825-7653,"$524,900"
"80 SANDCASTLE DRIVE UNIT#813|Ottawa, Ontario K2H9E7",2 + 0,2,John King,Apartment,"$339,000",ENGEL & VOLKERS OTTAWA CENTRAL,613,422-8688,"$339,000"
"1200 PLANTE DRIVE|Ottawa, Ontario K1V9G1",3 + 0,3,Suzanne Labonte,House,"$750,000",ROYAL LEPAGE PERFORMANCE REALTY,613,608-0304,"$750,000"
"112 THERESA PRIVATE|Ottawa, Ontario K1V0E7",3 + 0,3,Paul Rushforth,Row / Townhouse,"$385,000",PAUL RUSHFORTH REAL ESTATE INC.,613,788-2122,"$385,000"
"112 COLBORNE STREET E|Merrickville, Ontario K0G1N0",3 + 0,2,Anita deVries Bonneau,House,"$749,900",ROYAL LEPAGE TEAM REALTY,613,299-1547,"$749,900"
"112 COLBORNE STREET E|Merrickville, Ontario K0G1N0",3 + 0,2,Anita deVries Bonneau,House,"$749,900",ROYAL LEPAGE TEAM REALTY,613,299-1547,"$749,900"
"17 CHESTER CRESCENT|Ottawa, Ontario K2J2J6",3 + 0,3,Franco Ippolito,House,"$699,998",RE/MAX HALLMARK REALTY GROUP,613,222-1633,"$699,998"
"233 Rue Arthur-Quesnel|Gatineau (Aylmer), Quebec J9H7T8",3,2,Pascal Landry-Bourque,House,"$649,900",RE/MAX VISION - Hull,819,328-2964,"$649,900"
"1156 SHILLINGTON AVENUE|Ottawa, Ontario K1Z7Z4",3 + 0,3,Paul Rushforth,House,"$699,000",PAUL RUSHFORTH REAL ESTATE INC.,613,788-2122,"$699,000"
"381 SUNNYSIDE AVENUE|Ottawa, Ontario K1S0S3",2 + 0,1,Trudy Van Dyke,Row / Townhouse,"$749,900",ROYAL LEPAGE PERFORMANCE REALTY,613,761-3398,"$749,900"
"1465 BASELINE ROAD UNIT#1216|Ottawa, Ontario K2C3L9",2 + 0,1,John Gomes,Apartment,"$319,000",ROYAL LEPAGE PERFORMANCE REALTY,613,851-1757,"$319,000"
"324 NESTLETON AVENUE|Ottawa, Ontario K4A0A4",3 + 1,4,Burim Gashi,House,"$779,900",EXIT EXCEL REALTY,613,558-1410,"$779,900"
"1215 EMPEROR AVENUE|Ottawa, Ontario K1Z8C3",3 + 0,2,Jan Carter Lea,House,"$599,900",ROYAL LEPAGE TEAM REALTY,613,552-0734,"$599,900"
"23 MCDERMOT COURT|Ottawa, Ontario K2L3V2",2 + 1,2,Bailey Ronberg,Row / Townhouse,"$349,000",EXIT REALTY VISION,613,223-8786,"$349,000"
"4191 WILLIAM STREET|Brinston, Ontario K0E1C0",2 + 0,3,Maleeha Peterson,House,"$499,900",RE/MAX DELTA REALTY TEAM,613,762-5575,"$499,900"
"8044 CRAIG FARM DRIVE|Ottawa, Ontario K0A2P0",4 + 0,3,Mark Di Salvo,House,"$899,900",COLDWELL BANKER RHODES & COMPANY,613,850-4168,"$899,900"
"815 KENNACRAIG PRIVATE|Ottawa, Ontario K2J5T5",3 + 0,3,Nim Moussa,Row / Townhouse,"$599,900",RE/MAX HALLMARK REALTY GROUP,613,298-6461,"$599,900"
"124 Rue Sherbrooke|Gatineau (Hull), Quebec J8Y2L1",3,2,Joshua Herring,House,"$299,900",RE/MAX DIRECT INC.,613,325-6468,"$299,900"
"228 Rue Victor-Hugo|Gatineau (Gatineau), Quebec J8R3W3",4,1,Yannick Arseneault,House,"$449,900",RE/MAX VISION,819,360-6967,"$449,900"
"8 Ch. du Village|Val-des-Monts, Quebec J8N7L5",4,2,Marc Richard,House,"$499,900",RE/MAX VISION,819,213-3962,"$499,900"
"3535 ST JOSEPH BOULEVARD UNIT#61|Ottawa, Ontario K4A0Z6",2 + 0,1,Heather Meunier,Modular,"$199,000",KELLER WILLIAMS INTEGRITY REALTY,613,761-8343,"$199,000"
"12 ASHWOOD CRESCENT|Ottawa, Ontario K2G2S8",,0,Geoff Church,,"$975,000",ROYAL LEPAGE PERFORMANCE REALTY,613,229-9140,"$975,000"
"12 ASHWOOD CRESCENT|Ottawa, Ontario K2G2S8",3 + 0,1,Geoff Church,House,"$975,000",ROYAL LEPAGE PERFORMANCE REALTY,613,229-9140,"$975,000"
"400 WARMSTONE DRIVE|Kanata, Ontario K2S0W5",3 + 0,4,Helen Tang,House,"$700,000",KELLER WILLIAMS INTEGRITY REALTY,613,762-4345,"$700,000"
"213 DUTCHMANS WAY|Ottawa, Ontario K2J5W5",3 + 1,4,Jeffrey Usher,House,"$650,000",GRAPE VINE REALTY INC.,613,829-1000,"$650,000"
"769 HAZELNUT CRESCENT|Ottawa, Ontario K1T0K3",3 + 0,3,Devin March,Row / Townhouse,"$679,900",DIGI BROKERAGE,613,852-8530,"$679,900"
"136 ACACIA AVENUE|Ottawa, Ontario K1M0R1",5 + 0,4,Marilyn Wilson,House,"$2,280,000",MARILYN WILSON DREAM PROPERTIES INC.,613,842-5000,"$2,280,000"
"172 Rue Nelligan|Gatineau (Gatineau), Quebec J8T6J9",3,2,Joël Simard,House,"$399,900",RE/MAX DIRECT INC. - Gatineau,819,360-3184,"$399,900"
"11 Rue Lévesque|Gatineau (Hull), Quebec J8Y4V7",3,1,Simon Laroche,Fourplex,"$859,900",RE/MAX VISION,819,598-7556,"$859,900"
"146 Boul. de l'Amérique-Française|#A|Gatineau (Aylmer), Quebec J9J0Z1",2,1,Caroline Bertrand,Apartment,"$319,000",ENGEL & VÖLKERS OUTAOUAIS,819,968-1881,"$319,000"
"1087 YORKS CORNERS ROAD|Edwards, Ontario K0A1V0",1 + 0,2,Emily Blanchard,House,"$474,927",ROYAL LEPAGE TEAM REALTY,613,774-4253,"$474,927"
"1794 KERR AVENUE|Ottawa, Ontario K2A1J1",3 + 0,2,Robert Kearns,House,"$695,000",ROYAL LEPAGE PERFORMANCE REALTY,613,238-2801,"$695,000"
"125 PRIAM WAY|Ottawa, Ontario K2H8S7",4 + 0,3,Karen Kristine,House,"$679,900",SUTTON GROUP - OTTAWA REALTY,613,868-2570,"$679,900"
"10 COVINGTON PLACE|Ottawa, Ontario K2G6B3",3 + 0,3,Serge Papineau,Row / Townhouse,"$629,900",RE/MAX HALLMARK REALTY GROUP,613,868-6652,"$629,900"
"38 THIRD AVENUE|Ottawa, Ontario K1S2J8",3 + 0,4,Robert Marland,Row / Townhouse,"$1,050,000",ROYAL LEPAGE PERFORMANCE MARLAND REALTY,613,769-9157,"$1,050,000"
"101 QUEEN STREET UNIT#1501|Ottawa, Ontario K1P5C7",1 + 0,1,Hamid Riahi,Apartment,"$739,000",POWER MARKETING REAL ESTATE INC.,613,860-7355,"$739,000"
"320 MIWATE PRIVATE UNIT#101|Ottawa, Ontario K1R0E1",2 + 0,2,Irina Popova,Apartment,"$989,900",BLUE PANDA REALTY INC.,613,883-2513,"$989,900"
"320 MIWATE PRIVATE UNIT#104|Ottawa, Ontario K1R6K8",2 + 0,2,Irina Popova,Apartment,"$820,900",BLUE PANDA REALTY INC.,613,883-2513,"$820,900"
"234 RIDEAU STREET UNIT#2602|Ottawa, Ontario K1N0A9",1 + 0,1,Josee Pasian,Apartment,"$494,900",ROYAL LEPAGE TEAM REALTY,613,692-2555,"$494,900"
"797 EASTVALE DRIVE|Gloucester, Ontario K1J6Z9",4 + 0,2,Marnie Bennett,House,"$475,000",BENNETT PROPERTY SHOP REALTY,613,233-8606,"$475,000"
"10-182 DALLAIRE ROAD|Rockland, Ontario K4K1K7",3 + 0,2,Angelo Toscano,House,"$879,900",RE/MAX DELTA REALTY TEAM,613,830-0000,"$879,900"
"234 RIDEAU STREET UNIT#2602|Ottawa, Ontario K1N0A9",1 + 0,1,Josee Pasian,Apartment,"$494,900",ROYAL LEPAGE TEAM REALTY,613,692-2555,"$494,900"
"12 PHILOSOPHER PRIVATE|Ottawa, Ontario K1S5P7",3 + 0,3,Marnie Bennett,House,"$1,299,000",BENNETT PROPERTY SHOP REALTY,613,233-8606,"$1,299,000"
"34 SHEPPARD'S GLEN AVENUE|Ottawa, Ontario K2M2M9",3 + 0,3,Jorge Iznardo,Row / Townhouse,"$599,000",WAYBRIDGE REALTY INC.,819,319-9617,"$599,000"
"131 HALLEY STREET|Ottawa, Ontario K2J3R8",3 + 0,3,Melanie Steward,Row / Townhouse,"$550,000",RE/MAX AFFILIATES REALTY LTD.,613,324-6363,"$550,000"
"797 EASTVALE DRIVE|Gloucester, Ontario K1J6Z9",4 + 0,2,Marnie Bennett,House,"$475,000",BENNETT PROPERTY SHOP REALTY,613,233-8606,"$475,000"
"10-182 DALLAIRE ROAD|Rockland, Ontario K4K1K7",3 + 0,2,Angelo Toscano,House,"$879,900",RE/MAX DELTA REALTY TEAM,613,830-0000,"$879,900"
"171 Rue Gamelin|Gatineau (Hull), Quebec J8Y1W1",5,2,Jonathan Doucet,Duplex,"$434,900",VIA CAPITALE DIAMANT,819,923-9993,"$434,900"
"8 Ch. du Havre|Val-des-Monts, Quebec J8N0B4",5,3,Jenna Rees,House,"$689,900",KELLER WILLIAMS DISTINCTION,819,962-2023,"$689,900"
"198 Rue Bourque|Gatineau (Hull), Quebec J8Y1Y4",4,3,Jonathan Cossette,House,"$369,900",Royal LePage Vallée de l'Outaouais,819,319-1244,"$369,900"
